time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-11-25T19:05:11.180Z,33.4791667,-116.7998333,3.43,2.8,ml,119,16,0.03312,0.21,ci,ci39476919,2021-02-06T18:28:11.040Z,"7km NE of Aguanga, CA",earthquake,0.1,0.34,0.151,155,reviewed,ci,ci
2020-11-20T06:55:29.580Z,33.4173333,-116.3825,14.04,2.52,ml,111,21,0.082,0.18,ci,ci39471319,2021-02-03T17:49:10.040Z,"18km N of Borrego Springs, CA",earthquake,0.11,0.25,0.212,25,reviewed,ci,ci
2020-10-28T18:14:30.080Z,33.5041667,-116.46,5.72,2.61,ml,118,28,0.07967,0.19,ci,ci39447775,2021-01-18T23:01:37.040Z,"21km ESE of Anza, CA",earthquake,0.09,0.36,0.149,28,reviewed,ci,ci
2020-10-08T17:30:48.830Z,33.583,-116.816,5.73,2.57,ml,113,14,0.04462,0.21,ci,ci39656712,2020-12-19T17:22:40.040Z,"14km WNW of Anza, CA",earthquake,0.12,0.39,0.156,181,reviewed,ci,ci
2020-10-06T23:29:17.780Z,33.7885,-116.6553333,14.91,2.92,ml,60,20,0.08791,0.12,ci,ci39654856,2022-01-13T05:13:33.561Z,"8km NE of Idyllwild, CA",earthquake,0.11,0.2,0.139,165,reviewed,ci,ci
2020-09-19T11:38:24.290Z,33.4425,-116.4461667,9.66,2.57,ml,108,21,0.1324,0.19,ci,ci38695802,2021-02-25T19:31:48.690Z,"22km NNW of Borrego Springs, CA",earthquake,0.11,0.28,0.167,25,reviewed,ci,ci
2020-08-31T22:20:41.090Z,33.391,-116.6455,12.93,2.59,ml,126,20,0.06814,0.22,ci,ci39366623,2020-11-07T18:48:41.040Z,"12km N of Warner Springs, CA",earthquake,0.12,0.3,0.149,153,reviewed,ci,ci
2020-07-16T04:50:30.830Z,33.7135,-116.8518333,15.14,2.59,ml,135,15,0.06554,0.21,ci,ci38592522,2020-09-26T16:58:31.040Z,"5km SE of Valle Vista, CA",earthquake,0.11,0.29,0.168,30,reviewed,ci,ci
2020-07-07T02:34:01.690Z,33.3456667,-116.3713333,11.36,3.15,ml,140,15,0.01921,0.22,ci,ci39282359,2020-09-11T22:14:23.040Z,"10km N of Borrego Springs, CA",earthquake,0.12,0.29,0.16,229,reviewed,ci,ci
2020-07-03T15:40:03.070Z,33.6705,-116.7223333,16.23,2.72,ml,120,16,0.04051,0.19,ci,ci39277879,2020-09-11T22:14:00.040Z,"8km S of Idyllwild, CA",earthquake,0.1,0.22,0.184,17,reviewed,ci,ci
